,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
20250604144200,1749019320000,92.5,93.0,92.5,93.0,7,3325.0,0.0,5614,92.5,0
20250604144300,1749019380000,93.0,93.0,93.0,93.0,0,0.0,0.0,5614,93.0,0
20250604144400,1749019440000,93.0,93.0,93.0,93.0,1,475.0,0.0,5614,93.0,0
20250604144500,1749019500000,92.5,92.5,92.5,92.5,1,475.0,0.0,5614,93.0,0
20250604144600,1749019560000,92.5,92.5,92.5,92.5,10,4750.0,0.0,5614,92.5,0
20250604144700,1749019620000,90.5,90.5,90.5,90.5,4,1900.0,0.0,5614,92.5,0
20250604144800,1749019680000,90.5,90.5,90.5,90.5,9,4275.0,0.0,5614,90.5,0
20250604144900,1749019740000,91.0,91.0,91.0,91.0,1,475.0,0.0,5613,90.5,0
20250604145000,1749019800000,91.0,91.0,91.0,91.0,0,0.0,0.0,5613,91.0,0
20250604145100,1749019860000,91.5,91.5,91.5,91.5,6,2850.0,0.0,5613,91.0,0
20250604145200,1749019920000,92.0,92.0,92.0,92.0,4,1900.0,0.0,5613,91.5,0
20250604145300,1749019980000,92.0,92.0,92.0,92.0,1,475.0,0.0,5613,92.0,0
20250604145400,1749020040000,92.0,92.0,92.0,92.0,0,0.0,0.0,5613,92.0,0
20250604145500,1749020100000,92.0,92.5,92.0,92.5,22,10450.0,0.0,5593,92.0,0
20250604145600,1749020160000,93.0,93.5,93.0,93.5,89,42275.0,0.0,5600,92.5,0
20250604145700,1749020220000,93.5,93.5,93.5,93.5,2,950.0,0.0,5598,93.5,0
20250604145800,1749020280000,94.0,94.0,94.0,94.0,3,1425.0,0.0,5598,93.5,0
20250604145900,1749020340000,94.0,94.0,94.0,94.0,0,0.0,0.0,5598,94.0,0
20250604150000,1749020400000,93.0,93.0,93.0,93.0,1,475.0,95.0,5598,94.0,0
20250604210000,1749042000000,93.0,93.0,93.0,93.0,0,0.0,0.0,5506,93.0,0
20250604210100,1749042060000,101.5,105.5,101.5,105.5,27,13837.0,0.0,5507,93.0,0
20250604210200,1749042120000,106.0,106.0,100.5,100.5,24,12172.0,0.0,5490,105.5,0
20250604210300,1749042180000,101.5,102.0,101.0,101.0,18,9180.0,0.0,5490,100.5,0
20250604210400,1749042240000,101.0,102.0,101.0,102.0,5,2550.0,0.0,5489,101.0,0
20250604210500,1749042300000,102.0,102.0,101.5,101.5,14,7140.0,0.0,5489,102.0,0
20250604210600,1749042360000,101.5,101.5,99.5,100.0,88,44440.0,0.0,5559,101.5,0
20250604210700,1749042420000,99.0,99.0,98.5,98.5,34,16730.0,0.0,5541,100.0,0
20250604210800,1749042480000,98.5,98.5,98.5,98.5,0,0.0,0.0,5541,98.5,0
20250604210900,1749042540000,99.5,99.5,99.5,99.5,20,10100.0,0.0,5541,98.5,0
20250604211000,1749042600000,99.5,99.5,99.5,99.5,0,0.0,0.0,5541,99.5,0
20250604211100,1749042660000,100.0,102.5,100.0,102.5,27,13635.0,0.0,5525,99.5,0
20250604211200,1749042720000,102.0,102.0,102.0,102.0,51,26525.0,0.0,5504,102.5,0
20250604211300,1749042780000,101.0,101.0,101.0,101.0,1,507.0,0.0,5504,102.0,0
20250604211400,1749042840000,100.5,100.5,100.0,100.0,5,2537.0,0.0,5504,101.0,0
20250604211500,1749042900000,100.0,100.0,100.0,100.0,0,0.0,0.0,5504,100.0,0
20250604211600,1749042960000,99.5,99.5,97.0,97.0,18,8305.0,0.0,5503,100.0,0
20250604211700,1749043020000,97.0,97.0,97.0,97.0,0,0.0,0.0,5503,97.0,0
20250604211800,1749043080000,99.5,99.5,99.5,99.5,20,10100.0,0.0,5513,97.0,0
20250604211900,1749043140000,98.5,99.5,98.5,99.5,42,21210.0,0.0,5510,99.5,0
